server,status,message,start_time,end_time
nrusca-sld4229,1,Shell Script Execution Successful,2023-07-15 13:54:11.661042,2023-07-15 13:55:42.408216
nrusca-sld0304,1,Shell Script Execution Successful,2023-07-15 13:54:11.662366,2023-07-15 13:55:05.860262
nrusca-sld4043,1,Shell Script Execution Successful,2023-07-15 13:54:11.664054,2023-07-15 13:54:46.590533
nrchbs-sld4113,1,Shell Script Execution Successful,2023-07-15 13:54:11.666010,2023-07-15 13:54:46.428269
nrchbs-sld4116,1,Shell Script Execution Successful,2023-07-15 13:54:11.667438,2023-07-15 13:54:51.036149
nrusca-sld4227,1,Shell Script Execution Successful,2023-07-15 13:54:11.669970,2023-07-15 13:54:47.841351
nrusca-sld4219,1,Shell Script Execution Successful,2023-07-15 13:54:11.671548,2023-07-15 13:54:49.222739
nrusca-sld4179,1,Shell Script Execution Successful,2023-07-15 13:54:11.673089,2023-07-15 13:54:51.022104
