Version,abbreviation,Product ,Description,Platform,patch_file,base_dir,base_sub_dir,os_name,db_release,patch_cycle,patch_home_dir,Patch Number,File Name,OPatch Utility
19c,19c,JDK,JDK BUNDLE PATCH 19.0.0.0.230117,Microsoft Windows x64 (64-bit),JDK.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Windows,19c,H1_2023,JDK,34777391,p34777391_190000_MSWIN-x86-64.zip,
11.2.0.4,11g,OJVM,OJVM PATCH SET UPDATE 11.2.0.4.230117,Linux x86-64,OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,11g,H1_2023,OJVM,34763334,p34763334_112040_Linux-x86-64.zip,
11.2.0.4,11g,OJVM,OJVM PATCH SET UPDATE 11.2.0.4.230117,IBM AIX on POWER Systems (64-bit),OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,11g,H1_2023,OJVM,34763334,p34763334_112040_AIX64-5L.zip,
11.2.0.4,11g,OJVM,OJVM PATCH SET UPDATE 11.2.0.4.230117,Oracle Solaris on SPARC (64-bit),OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,11g,H1_2023,OJVM,34763334,p34763334_112040_SOLARIS64.zip,
12.1.0.2,12cR1,OJVM,OJVM PATCH SET UPDATE 12.1.0.2.230117,Linux x86-64,OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,12cR1,H1_2023,OJVM,34763317,p34763317_121020_Linux-x86-64.zip,
12.1.0.2,12cR1,OJVM,OJVM PATCH SET UPDATE 12.1.0.2.230117,IBM AIX on POWER Systems (64-bit),OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,12cR1,H1_2023,OJVM,34763317,p34763317_121020_AIX64-5L.zip,
12.1.0.2,12cR1,OJVM,OJVM PATCH SET UPDATE 12.1.0.2.230117,Oracle Solaris on SPARC (64-bit),OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,12cR1,H1_2023,OJVM,34763317,p34763317_121020_SOLARIS64.zip,
19c,19c,OJVM,OJVM RELEASE UPDATE 19.18.0.0.0,Linux x86-64,OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,19c,H1_2023,OJVM,34786990,p34786990_190000_Linux-x86-64.zip,
19c,19c,OJVM,OJVM RELEASE UPDATE 19.18.0.0.0,IBM AIX on POWER Systems (64-bit),OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,19c,H1_2023,OJVM,34786990,p34786990_190000_AIX64-5L.zip,
19c,19c,OJVM,OJVM RELEASE UPDATE 19.18.0.0.0,Microsoft Windows x64 (64bit),OJVM.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Windows,19c,H1_2023,OJVM,34786990,p34786990_190000_MSWIN-x86-64.zip,
11.2.0.3.38 or later,11g,OPATCH,OPATCH,Linux x86-64,opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,11g,H1_2023,opatch,N/A,,
11.2.0.3.38 or later,11g,OPATCH,OPATCH,IBM AIX on POWER Systems (64-bit),opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,11g,H1_2023,opatch,N/A,,
11.2.0.3.38 or later,11g,OPATCH,OPATCH,Oracle Solaris on SPARC (64-bit),opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,11g,H1_2023,opatch,N/A,,
12.2.0.1.34 or later,12cR1,OPATCH,OPATCH,Linux x86-64,opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,12cR1,H1_2023,opatch,N/A,,
12.2.0.1.34 or later,12cR1,OPATCH,OPATCH,IBM AIX on POWER Systems (64-bit),opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,12cR1,H1_2023,opatch,N/A,,
12.2.0.1.34 or later,12cR1,OPATCH,OPATCH,Oracle Solaris on SPARC (64-bit),opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Solaris,12cR1,H1_2023,opatch,N/A,,
12.2.0.1.34 or later,19c,OPATCH,OPATCH,Linux x86-64,opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,RedHat,19c,H1_2023,opatch,N/A,,
12.2.0.1.34 or later,19c,OPATCH,OPATCH,IBM AIX on POWER Systems (64-bit),opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,AIX,19c,H1_2023,opatch,N/A,,
12.2.0.1.34 or later,19c,OPATCH,OPATCH,Microsoft Windows x64 (64bit),opatch.zip,/u01,/software/AUTOMATION/ANSIBLE/patching,Windows,19c,H1_2023,opatch,N/A,,
