INVENTORYKEY,DBI_HOST,DBI_KEY,ORA_SID,ORA_HOME,AUTO_START,HOME_EXIST,HOME_ACTIVE,HOME_TYPE,SID_STATUS,DB_STATUS,SQLPLUS_VERSION,DB_RELEASE,OPATCH_VERSION,PATCH_HISTORY,PATCH_DATE,LISTENER_DATA,OS_USER,PRIMARY_GROUP,TOTAL_GB,USED_GB,FREE_GB,USED_PCT,FREE_PCT,OS_NAME,OS_KERNEL,OS_SHELL,SERVER_CPU,SERVER_RAM,JCHEM_STATUS,ORAINV,ROWSTART,INSTANCE_NAME,HOST_NAME,VERSION,STARTUP_TIME,STATUS,LOGINS,DATABASE_STATUS,INSTANCE_ROLE,DBID,NAME,CREATED,RESETLOGS_TIME,LOG_MODE,OPEN_MODE,PROTECTION_MODE,PROTECTION_LEVEL,DATABASE_ROLE,FORCE_LOGGING,PLATFORM_ID,PLATFORM_NAME,FLASHBACK_ON,DB_UNIQUE_NAME,IS_DG,DG_TNS,IS_RAC,RAC_NODE,WALLET_LOCATION,WALLET_STATUS,WALLET_TYPE,TDE_TBSCOUNT,OFFLINE_DATAFILE,OFFLINE_TEMPFILE,NEED_RECOVERY,IS_PDB,PDB_LIST,PGA_LIMIT,PGA_TARGET,SGA_TARGET,SGA_MAX,MEMORY_MAX,MEMORY_TARGET,CPUCOUNT,ALLOC_PGA_MB,TOTAL_SGA_MB,TOTALSIZE,DATAFILESIZE,TEMPFILESIZE,SEGMENTSIZE,ROWEND
INVKEY20230717034829,nrusca-sld0304,CACJRAD@nrusca-sld0304,CACJRAD,/u01/app/oracle/product/12.1.0.2/DB_1,Y,YES,check_is_disable,OH,UP,OPEN,12.1.0.2.0,12cR1,12.2.0.1.30,"33711081;Database-Patch-Set,33810237;JDK-BUNDLE-PATCH","33711081:May 12 00:27:38 EDT 2022,33810237:May 12 00:34:23 EDT 2022",LISTENER:/u01/app/oracle/product/12.1.0.2/DB_1/network/admin,oracle,dba,204G,95G,110G,47,53,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,32007.7 MB,DOWN,/u01/app/oraInventory,ROWST,CACJRAD,nrusca-sld0304.nibr.novartis.net,12.1.0.2.0,13-JUL-2023 00:12:22,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,1199790445,CACJRAD,30-SEP-2016 16:27:25,03-NOV-2016 14:33:45,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,NO,CACJRAD,NO,None,NO,None,/u01/app/oracle/product/12.1.0.2/DB_1/admin/CACJRAD/wallet,OPEN_NO_MASTER_KEY,UNKNOWN,0,NO,NO,NO,YES,"CAPJRAD:READ WRITE,PDB$SEED:READ ONLY",6710886400,3355443200,10066329600,10066329600,0,0,4,240.28,9600,133.78,130.73,2.91,9.94,ROWED
INVKEY20230717034829,nrusca-sld0304,CACJRASD@nrusca-sld0304,CACJRASD,/u01/app/oracle/product/12.1.0.2/DB_2,Y,YES,check_is_disable,OH,UP,OPEN,12.1.0.2.0,12cR1,12.2.0.1.30,"33711081;Database-Patch-Set,33810237;JDK-BUNDLE-PATCH","33711081:May 12 00:30:52 EDT 2022,33810237:May 12 00:36:31 EDT 2022",LISTENER:/u01/app/oracle/product/12.1.0.2/DB_2/network/admin,oracle,dba,204G,95G,110G,47,53,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,32007.7 MB,DOWN,/u01/app/oraInventory,ROWST,CACJRASD,nrusca-sld0304.nibr.novartis.net,12.1.0.2.0,13-JUL-2023 00:13:14,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,2206149340,CACJRASD,12-NOV-2016 07:27:24,12-NOV-2016 07:27:28,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,NO,CACJRASD,NO,None,NO,None,/u01/app/oracle/product/12.1.0.2/DB_2/admin/CACJRASD/wallet,OPEN_NO_MASTER_KEY,UNKNOWN,0,NO,NO,NO,YES,"CAPJRASD:READ WRITE,PDB$SEED:READ ONLY",6710886400,3355443200,10099884032,10099884032,0,0,4,223.83,9632,65.68,64.24,1.29,3.22,ROWED
INVKEY20230717034829,nrusca-sld0304,AGTUS@nrusca-sld0304,AGTUS,/u01/app/oracle/product/us/agent12c,Y,NO,unknown,unknown,unknown,unknown,0.0.0.0.0,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,32007.7 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230717034829,nrusca-sld0304,AGTEU@nrusca-sld0304,AGTEU,/u01/app/oracle/product/eu/agent12c,Y,YES,check_is_disable,OA,UP,unknown,13.3.0.0.0,unknown,None,None,None,nolistener,oracle,dba,204G,95G,110G,47,53,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,32007.7 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230717034829,nrusca-sld4043,CAECS1D@nrusca-sld4043,CAECS1D,/u01/app/oracle/product/12.1.0.2/DB_1,Y,YES,check_is_disable,OH,UP,OPEN,12.1.0.2.0,12cR1,12.2.0.1.30,"33711081;Database-Patch-Set,33810237;JDK-BUNDLE-PATCH","33711081:May 12 00:33:23 EDT 2022,33810237:May 12 00:37:36 EDT 2022",LISTENER:/u01/app/oracle/product/12.1.0.2/DB_1/network/admin,oracle,dba,135G,78G,58G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,15866.6 MB,UP,/u01/app/oraInventory,ROWST,CAECS1D,nrusca-sld4043,12.1.0.2.0,13-JUL-2023 00:17:16,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,2250494504,CAECS1D,08-FEB-2018 08:13:28,08-FEB-2018 08:13:28,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,NO,CAECS1D,NO,None,NO,None,/u01/app/oracle/product/12.1.0.2/DB_1/admin/CAECS1D/wallet,OPEN_NO_MASTER_KEY,UNKNOWN,0,NO,NO,NO,NO,None,3313500160,1656750080,4982833152,4982833152,0,0,4,256.55,4752,26.68,25.46,1.07,22.25,ROWED
INVKEY20230717034829,nrusca-sld4043,CACIAM1D@nrusca-sld4043,CACIAM1D,/u01/app/oracle/product/12.1.0.2/DB_1,Y,YES,check_is_disable,OH,UP,OPEN,12.1.0.2.0,12cR1,12.2.0.1.30,"33711081;Database-Patch-Set,33810237;JDK-BUNDLE-PATCH","33711081:May 12 00:33:23 EDT 2022,33810237:May 12 00:37:36 EDT 2022",LISTENER:/u01/app/oracle/product/12.1.0.2/DB_1/network/admin,oracle,dba,135G,78G,58G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,15866.6 MB,UP,/u01/app/oraInventory,ROWST,CACIAM1D,nrusca-sld4043,12.1.0.2.0,13-JUL-2023 00:17:39,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,1192633780,CACIAM1D,25-MAY-2016 19:21:24,21-MAR-2018 12:01:56,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,NO,CACIAM1D,NO,None,NO,None,/u01/app/oracle/product/12.1.0.2/DB_1/admin/CACIAM1D/wallet,NOT_AVAILABLE,UNKNOWN,0,NO,NO,NO,YES,"CAPIAM1D:READ WRITE,PDB$SEED:READ ONLY",2147483648,1048576000,3221225472,3221225472,0,0,4,227.09,3072,15.49,12.73,1.78,3.58,ROWED
INVKEY20230717034829,nrchbs-sld4113,BSCKIF1D@nrchbs-sld4113,BSCKIF1D,/u01/app/oracle/product/12.2.0.1/DB_1,N,YES,check_is_disable,OH,UP,OPEN,12.2.0.1.0,12cR2,12.2.0.1.28,"33497187;JDK-BUNDLE-PATCH,33587128;Database-Jan-2022","33497187:Feb 10 00:38:35 CET 2022,33587128:Feb 10 00:32:54 CET 2022",LISTENER:/u01/app/oracle/product/12.2.0.1/DB_1/network/admin,oracle,dba,36G,22G,15G,60,40,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,32003 MB,DOWN,/u01/app/oraInventory,ROWST,BSCKIF1D,nrchbs-sld4113,12.2.0.1.0,15-JUL-2023 14:59:35,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,1122831334,BSCKIF1D,30-APR-2019 16:23:02,30-APR-2019 16:23:07,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,NO,BSCKIF1D,NO,None,NO,None,/u01/app/oracle/product/12.2.0.1/DB_1/admin/BSCKIF1D/wallet,NOT_AVAILABLE,UNKNOWN,0,NO,NO,NO,YES,"BSPKIF1D:READ WRITE,PDB$SEED:READ ONLY",2147483648,817889280,19327352832,19327352832,0,0,4,331.86,18432,561.52,455.4,105.15,3.15,ROWED
INVKEY20230717034829,nrchbs-sld4116,BSCIEL1D@nrchbs-sld4116,BSCIEL1D,/u01/app/oracle/product/12.1.0.2/DB_1,Y,YES,check_is_disable,OH,UP,OPEN,12.1.0.2.0,12cR1,12.2.0.1.30,"33711081;Database-Patch-Set,33810237;JDK-BUNDLE-PATCH","33711081:May 12 00:32:13 CEST 2022,33810237:May 12 00:36:49 CEST 2022",LISTENER:/u01/app/oracle/product/12.1.0.2/DB_1/network/admin,oracle,dba,54G,20G,35G,36,64,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",2,15876 MB,DOWN,/u01/app/oraInventory,ROWST,BSCIEL1D,nrchbs-sld4116,12.1.0.2.0,15-JUL-2023 15:59:59,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,1794888891,BSCIEL1D,18-JUN-2019 14:05:47,18-JUN-2019 14:05:47,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,RESTORE POINT ONLY,BSCIEL1D,NO,None,NO,None,/u01/app/oracle/product/12.1.0.2/DB_1/admin/BSCIEL1D/wallet,NOT_AVAILABLE,UNKNOWN,0,NO,NO,NO,YES,"BSPIEL1D:READ WRITE,PDB$SEED:READ ONLY",8589934592,4294967296,8589934592,8589934592,0,0,2,267.19,8192,613.46,607.86,4.63,2.72,ROWED
INVKEY20230717034829,nrusca-sld4227,CACSDB5D@nrusca-sld4227,CACSDB5D,/u01/app/oracle/product/19.3.0/DB_1,Y,YES,check_is_disable,OH,UP,OPEN,19.0.0.0.0,19c,12.2.0.1.30,"29585399;OCW-RELEASE-UPDATE,33806152;Database-Release-Update,33810130;JDK-BUNDLE-PATCH","29585399:Apr 18 03:21:33 EDT 2019,33806152:May 12 00:50:18 EDT 2022,33810130:May 12 01:01:53 EDT 2022",LISTENER:/u01/app/oracle/local,oracle,dba,99G,59G,36G,63,37,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",8,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,CACSDB5D,nrusca-sld4227,19.15.0.0.0,13-JUL-2023 03:12:26,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,2216820183,CACSDB5D,01-JUL-2021 13:06:31,01-JUL-2021 13:06:34,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,NO,CACSDB5D,NO,None,NO,None,/u01/app/oracle/product/19.3.0/DB_1/admin/CACSDB5D/wallet,NOT_AVAILABLE,UNKNOWN,0,NO,NO,NO,YES,"CAPARE1D:READ WRITE,CAPDPT1D:READ WRITE,CAPSNP1D:READ WRITE,PDB$SEED:READ ONLY",6442450944,3221225472,0,21474836480,0,0,8,1207.44,20480,38.27,35.51,1.78,3.49,ROWED
INVKEY20230717034829,nrusca-sld4219,CACEWB2D@nrusca-sld4219,CACEWB2D,/u01/app/oracle/product/19.3.0/DB_1,Y,YES,check_is_disable,OH,UP,OPEN,19.0.0.0.0,19c,12.2.0.1.30,"29585399;OCW-RELEASE-UPDATE,33806152;Database-Release-Update,33810130;JDK-BUNDLE-PATCH","29585399:Apr 18 03:21:33 EDT 2019,33806152:May 12 00:37:59 EDT 2022,33810130:May 12 00:50:16 EDT 2022",LISTENER:/u01/app/oracle/product/19.3.0/DB_1/network/admin,oracle,dba,128G,42G,80G,35,65,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",8,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,CACEWB2D,nrusca-sld4219,19.15.0.0.0,13-JUL-2023 02:30:12,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,3643614750,CACEWB2D,26-MAR-2021 08:55:58,26-MAR-2021 08:56:00,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,NO,CACEWB2D,NO,None,NO,None,/u01/app/oracle/product/19.3.0/DB_1/admin/CACEWB2D/wallet,NOT_AVAILABLE,UNKNOWN,0,NO,NO,NO,YES,"CAPIEL1D:READ WRITE,CAPSBK2D:READ WRITE,CAPSBK3D:READ WRITE,PDB$SEED:READ ONLY",8589934592,4294967296,16106127360,16106127360,0,0,8,1488,15360,683.28,673.95,8.35,3.32,ROWED
